,id,slug,url,name,tags,state,category,description,age,gender,caste,is_minority,is_differently_abled,is_dbt,is_widowed_or_divorced,is_bpl,is_student,occupation
12,13,fseg,https://www.myscheme.gov.in/schemes/fseg,Farmer Suicide Ex-Gratia,"Suicide,Farmer,Financial Assistance",Andhra Pradesh,Social welfare & Empowerment,"""Farmer Suicide Ex-Gratia"" is a Financial Assistance Scheme by the Agriculture & Cooperation Dept. of the Govt. of Andhra Pradesh. The scheme provides financial assistance of ₹ 7,00,000 to the family members of the deceased farmers/tenant farmers, who commit suicide due to agrarian reasons.","{""ews"":{""gte"":0,""lte"":100},""female"":{""gte"":0,""lte"":100},""general"":{""gte"":0,""lte"":100},""obc"":{""gte"":0,""lte"":100},""sc"":{""gte"":0,""lte"":100},""st"":{""gte"":0,""lte"":100},""widowed"":{""gte"":0,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,Farmer
13,14,suurg,https://www.myscheme.gov.in/schemes/suurg,Scheme for Upliftment of Utsavi Rangabhumi of Goa,"Theatre,Festival,Musical,Village,Artist",Goa,"Sports & Culture,Social welfare & Empowerment",The “Scheme for Upliftment of Utsavi Rangabhumi of Goa” has been designed with the objective of encouraging the festival theatre of Goa which is known as “Gomantakiya Utsavi Rangabhumi”. This form of theatre has an illustrious tradition of presenting plays during festivals in the villages.,"{""ews"":{""gte"":18,""lte"":100},""female"":{""gte"":18,""lte"":100},""general"":{""gte"":18,""lte"":100},""obc"":{""gte"":18,""lte"":100},""sc"":{""gte"":18,""lte"":100},""st"":{""gte"":18,""lte"":100},""widowed"":{""gte"":18,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,"Artisans, Spinners & Weavers,Artists"
14,15,mirs,https://www.myscheme.gov.in/schemes/mirs,Marriage Incentive Reward Scheme,"Financial Assistance,Widow Marriage,Social Welfare,Empowerment",Uttar Pradesh,Social welfare & Empowerment,The Marriage Incentive Reward scheme for the marriage of disabled persons by the Government of Uttar Pradesh is being operated by the department since the year 1997. ,"{""female"":{""gte"":21,""lte"":45},""male"":{""gte"":18,""lte"":45}}","female,male","sc,st,obc,general,ews,pvtg",false,false,false,true,false,false,
15,16,haps,https://www.myscheme.gov.in/schemes/haps,Hiv / Aids Pension Scheme,"Financial Assistance,HIV / AIDS,Pension,Medical Expenses,Petty Personal Expenses",Puducherry,Social welfare & Empowerment,The Government of Puducherry introduced the HIV / AIDS Pension Scheme to extend a helping hand through monthly financial assistance to HIV/AIDS Affected People so that they could defray some petty personal/ medical expenses without depending on others.,"{""ews"":{""gte"":0,""lte"":100},""female"":{""gte"":0,""lte"":100},""general"":{""gte"":0,""lte"":100},""obc"":{""gte"":0,""lte"":100},""sc"":{""gte"":0,""lte"":100},""st"":{""gte"":0,""lte"":100},""widowed"":{""gte"":0,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,
16,17,issfb,https://www.myscheme.gov.in/schemes/issfb,Incentive To Saharia Students For B.Ed,"Education,Student,Financial Assistane,Higher Education",Rajasthan,Education & Learning,"In Rajasthan, ""Incentive To Saharia Students For B.Ed"" scheme is run by the ""Tribal Area Development Department"" from 2004-05. ","{""ews"":{""gte"":1,""lte"":100},""female"":{""gte"":1,""lte"":100},""general"":{""gte"":1,""lte"":100},""obc"":{""gte"":1,""lte"":100},""sc"":{""gte"":1,""lte"":100},""st"":{""gte"":1,""lte"":100},""widowed"":{""gte"":1,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,true,
17,18,faisbscbc,https://www.myscheme.gov.in/schemes/faisbscbc,Financial Assistance To Institutions/Societies Belonging To Scheduled Castes/Backward Classes,"Institution,Society,Financial Assistance,Scheduled Caste,Backward Class,Construction Of Building",Haryana,"Social welfare & Empowerment,Transport & Infrastructure","The scheme “Financial Assistance to Institutions/Societies Belonging to Scheduled Castes/Backward Classes” was launched by the Department of Welfare of Scheduled Castes & Backward Classes, Government of Haryana.","{""ews"":{""gte"":0,""lte"":100},""female"":{""gte"":0,""lte"":100},""general"":{""gte"":0,""lte"":100},""obc"":{""gte"":0,""lte"":100},""sc"":{""gte"":0,""lte"":100},""st"":{""gte"":0,""lte"":100},""widowed"":{""gte"":0,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,Construction Worker
18,19,aelss,https://www.myscheme.gov.in/schemes/aelss,Abhinandan Education Loan Subsidy Scheme,"Abhinandan,Education Loan,Subsidy Scheme",Assam,"Education & Learning,Skills & Employment","Chief Minister Sarbananda Sonowal launched the Assam Abhinandan Education Loan Subsidy Scheme at the Srimanta Sankardev International Auditorium on 26 December 2019 in the presence of Finance Minister Himanta Biswa Sarma, , several senior officials of the State Finance Department, and bank officials","{""ews"":{""gte"":1,""lte"":100},""female"":{""gte"":1,""lte"":100},""general"":{""gte"":1,""lte"":100},""obc"":{""gte"":1,""lte"":100},""sc"":{""gte"":1,""lte"":100},""st"":{""gte"":1,""lte"":100},""widowed"":{""gte"":1,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,
19,20,hiip,https://www.myscheme.gov.in/schemes/hiip,Homes For Intellectually Impaired Persons,"Child,Person With Disability,Shelter,Social Justice",Maharashtra,"Housing & Shelter,Social welfare & Empowerment","The ""Homes for Intellectually Impaired Persons"" is a scheme by the Department of Social Justice & Special Assistance, Govt. of Maharashtra. In this scheme, Mentally Deficient Children who are in need of care and protection are admitted into shelter homes through the Child Welfare Committees.","{""ews"":{""gte"":0,""lte"":18},""female"":{""gte"":0,""lte"":18},""general"":{""gte"":0,""lte"":18},""obc"":{""gte"":0,""lte"":18},""sc"":{""gte"":0,""lte"":18},""st"":{""gte"":0,""lte"":18},""widowed"":{""gte"":0,""lte"":18}}",female,"ews,st,general,obc,sc",false,true,false,true,false,false,
20,21,cmst,https://www.myscheme.gov.in/schemes/cmst,Chief Ministergi Shotharabasingi Tengbang,"Travel,Concession,PwD,Person With Disability",Manipur,Social welfare & Empowerment,"""Chief Ministergi Shotharabasingi Tengbang"" is a Social Welfare Scheme by the Social Welfare Department, Govt. of Manipur. The scheme provides Free Travel & Concession to the Persons with Disabilities. All the PwDs who are a domicile of the State of Manipur are eligible.","{""ews"":{""gte"":0,""lte"":100},""female"":{""gte"":0,""lte"":100},""general"":{""gte"":0,""lte"":100},""obc"":{""gte"":0,""lte"":100},""sc"":{""gte"":0,""lte"":100},""st"":{""gte"":0,""lte"":100},""widowed"":{""gte"":0,""lte"":100}}",female,"ews,st,general,obc,sc",false,true,false,true,false,false,
21,369,psslp,https://www.myscheme.gov.in/schemes/psslp,Prize Schemes to the Students (State Level Prizes),"Minority Welfare,Scholarship,Education,Financial Assistance",Tamil Nadu,Education & Learning,"The scheme awards students from Backward Classes (BC), Most Backward Classes (MBC), and Denotified Communities (DNC) for their excellent performance in academic exams studying in Government/Government Aided and Private Schools.
","{""obc"":{""gte"":15,""lte"":18}}","male,female,transgender",obc,true,false,false,false,false,false,
22,22,fatpomo2t5ffttfc,https://www.myscheme.gov.in/schemes/fatpomo2t5ffttfc,Financial Assistance to Purchase Outboard Motor of 2HP to 5 HP for Fitting to the Fishing Canoe,"Fishermen,Fish,Financial Assistance,Subsidy",Goa,"Agriculture,Rural & Environment","“Financial Assistance to Purchase Outboard Motor of 2HP to 5 HP for Fitting to the Fishing Canoe” is a scheme by the Department of Fisheries, Government of Goa. This Scheme has been introduced to grant financial assistance in the form of a subsidy on the purchase of an outboard motor of 2HP to 5HP.","{""ews"":{""gte"":18,""lte"":100},""female"":{""gte"":18,""lte"":100},""general"":{""gte"":18,""lte"":100},""obc"":{""gte"":18,""lte"":100},""sc"":{""gte"":18,""lte"":100},""st"":{""gte"":18,""lte"":100},""widowed"":{""gte"":18,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,Fishermen
23,23,spfappbga,https://www.myscheme.gov.in/schemes/spfappbga,Scheme to Provide Financial Assistance to the Publishers for Publishing Books of Goan Authors,"Book,Publish,Culture,Financial Assistance",Goa,Sports & Culture,"""Scheme to Provide Financial Assistance to the Publishers for Publishing Books of Goan Authors""  by the Directorate of Art and Culture, Government of Goa, has been designed to promote Goan publishers to provide them with financial support for the publication of books.","{""ews"":{""gte"":18,""lte"":100},""female"":{""gte"":18,""lte"":100},""general"":{""gte"":18,""lte"":100},""obc"":{""gte"":18,""lte"":100},""sc"":{""gte"":18,""lte"":100},""st"":{""gte"":18,""lte"":100},""widowed"":{""gte"":18,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,
24,24,sjfs,https://www.myscheme.gov.in/schemes/sjfs,Swarnajayanti Fellowships Scheme,"Swarnajayanti,Fellowship,Young Scientist,Research,PhD",All,"Science, IT & Communications","Under this scheme, a selected number of young scientists, with proven track record, are provided special assistance and support to enable them to pursue basic research in frontier areas of science and technology.","{""ews"":{""gte"":30,""lte"":40},""female"":{""gte"":30,""lte"":40},""general"":{""gte"":30,""lte"":40},""obc"":{""gte"":30,""lte"":40},""sc"":{""gte"":30,""lte"":40},""st"":{""gte"":30,""lte"":40},""widowed"":{""gte"":30,""lte"":40}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,
25,25,cvy-sumcy,https://www.myscheme.gov.in/schemes/cvy-sumcy,Coir Vikas Yojana-Skill Upgradation and Mahila Coir Yojana,"Coir,Skill Upgradation,Mahila,MSME,Stipend,Training,Entrepreneur,Self-employment",All,"Business & Entrepreneurship,Skills & Employment","The scheme “Skill Upgradation and Mahila Coir Yojana” is a component of “Coir Vikas Yojana” and the scheme was launched by the Ministry of Micro, Small & Medium Enterprises, Government of India.","{""ews"":{""gte"":0,""lte"":100},""female"":{""gte"":0,""lte"":100},""general"":{""gte"":0,""lte"":100},""obc"":{""gte"":0,""lte"":100},""sc"":{""gte"":0,""lte"":100},""st"":{""gte"":0,""lte"":100},""widowed"":{""gte"":0,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,"Coir Worker,Entrepreneur"
26,26,fasuccu,https://www.myscheme.gov.in/schemes/fasuccu,Financial Assistance for Setting up Crab Culture Unit,"Fishermen,Subsidy,Financial Assistance,Aquaculture",Goa,"Agriculture,Rural & Environment","Through this scheme, financial assistance of 25% of the actual cost, limited to ₹1,50,000 per hectare is provided to eligible fishermen for setting up crab culture unit. Only Fish Farmer/ Individual/ Registered Self Help Group/ Societies, interested in the setting up of the Crab Farming Unit.","{""ews"":{""gte"":18,""lte"":100},""female"":{""gte"":18,""lte"":100},""general"":{""gte"":18,""lte"":100},""obc"":{""gte"":18,""lte"":100},""sc"":{""gte"":18,""lte"":100},""st"":{""gte"":18,""lte"":100},""widowed"":{""gte"":18,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,Fishermen
27,27,iwr,https://www.myscheme.gov.in/schemes/iwr,Incentive to Widow's Remarriage,"Widow,Marriage,Remarriage,Financial Assistance,Social Welfare",Puducherry,"Social welfare & Empowerment,Women and Child","The objective of this scheme is to encourage and support widows to remarry and lead a normal life in society. Through this scheme, eligible individuals receive financial assistance of ₹50,000/- in the form of a National Saving Certificate. The bridegroom should be a bachelor or a widower.","{""ews"":{""gte"":18,""lte"":100},""female"":{""gte"":18,""lte"":100},""general"":{""gte"":18,""lte"":100},""obc"":{""gte"":18,""lte"":100},""sc"":{""gte"":18,""lte"":100},""st"":{""gte"":18,""lte"":100},""widowed"":{""gte"":18,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,
28,28,dbhs-2bhks,https://www.myscheme.gov.in/schemes/dbhs-2bhks,Double Bedroom Housing Scheme (2BHK Scheme),"Housing,Shelter",Telangana,Housing & Shelter,"The Govt. of Telangana formulated the 2BHK Scheme in Oct'2015 to provide 100% subsidized housing to the poor. The ""Double Bedroom Housing"" provides two bedrooms, a hall, a kitchen, and two toilets covering the 560 Sqft plinth area. The plot area is 125 sq yd for an independent house in a rural area.","{""ews"":{""gte"":0,""lte"":100},""female"":{""gte"":0,""lte"":100},""general"":{""gte"":0,""lte"":100},""obc"":{""gte"":0,""lte"":100},""sc"":{""gte"":0,""lte"":100},""st"":{""gte"":0,""lte"":100},""widowed"":{""gte"":0,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,
29,29,cmdps-sikkim,https://www.myscheme.gov.in/schemes/cmdps-sikkim,Chief Minister's State Disability Pension Scheme - Sikkim,"Disability,Pension,Below Poverty Line,Direct Benefit Transfer",Sikkim,"Social welfare & Empowerment,Banking,Financial Services and Insurance","The scheme “Chief Minister's State Disability Pension Scheme (CMDPS)” was started by the Women & Child Welfare Department, Govt. of Sikkim to provide financial assistance to the differently abled person who has a disability of 40% and above. ","{""pwd"":{""gte"":0,""lte"":100}}","male,female,transgender","sc,st,obc,general,ews,pvtg",false,true,true,false,true,false,
30,30,skksbpa,https://www.myscheme.gov.in/schemes/skksbpa,Swahid Kushal Konwar Sarbajanin Briddha Pension Achoni,"Pension,Senior Citizen,Social Welfare",Assam,Social welfare & Empowerment,"Launched on 2nd October 2018, ""Swahid Kushal Konwar Sarbajanin Briddha Pension Achoni"" is a Pension Scheme by the Govt. of Assam. The objective of the scheme is to streamline the payment of old-age pensions and funds. The beneficiary will get a sum of ₹250/- per month.","{""ews"":{""gte"":60,""lte"":100},""female"":{""gte"":60,""lte"":100},""general"":{""gte"":60,""lte"":100},""obc"":{""gte"":60,""lte"":100},""sc"":{""gte"":60,""lte"":100},""st"":{""gte"":60,""lte"":100},""widowed"":{""gte"":60,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,
31,31,jms-11and12,https://www.myscheme.gov.in/schemes/jms-11and12,Junior Merit (Class - 11 To 12),"Students,Scholarship,Class XI,Class XII,E-medhabruti",Odisha,Education & Learning,"The Department of School & Mass Education, Government of Odisha is awarding ""Junior Merit Scholarship"" under the Scheme 'e-medhabruti’ to provide financial assistance to the meritorious Higher Secondary School students of Odisha from families whose parental income does not exceed 6.00 lakhs.","{""ews"":{""gte"":0,""lte"":100},""female"":{""gte"":0,""lte"":100},""general"":{""gte"":0,""lte"":100},""obc"":{""gte"":0,""lte"":100},""sc"":{""gte"":0,""lte"":100},""st"":{""gte"":0,""lte"":100},""widowed"":{""gte"":0,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,true,
32,32,gmgmach,https://www.myscheme.gov.in/schemes/gmgmach,Grant of Mahatma Gandhi Memorial Award for Clean Houses,"House,Grant,Clean,Sanitation,Waste",Puducherry,"Utility & Sanitation,Social welfare & Empowerment","“Grant of Mahatma Gandhi Memorial Award for Clean Houses” was introduced by the Adi Dravidar Welfare Dept, Govt of Puducherry. The objective of the scheme is to motivate the Scheduled Caste people to keep their houses neat and tidy. Incentives are in the form of household articles worth ₹500/-.","{""ews"":{""gte"":18,""lte"":100},""female"":{""gte"":18,""lte"":100},""general"":{""gte"":18,""lte"":100},""obc"":{""gte"":18,""lte"":100},""sc"":{""gte"":18,""lte"":100},""st"":{""gte"":18,""lte"":100},""widowed"":{""gte"":18,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,
33,33,mmksy,https://www.myscheme.gov.in/schemes/mmksy,Mukhya Mantri Mahila Kisan Sashaktikaran Yojana,"Mukhya Mantri,Mahila,Kisan,Sashaktikaran Yojana",Gujarat,"Agriculture,Rural & Environment",Mukhya Mantri Mahila Kisan Sashaktikaran Yojana (MMKSY) is a scheme launched by the Government of Gujarat to empower women farmers in the state. The scheme was announced in the 2018-19 budget and is being implemented by the Department of Agriculture and Co-operation. ,"{""female"":{""gte"":18,""lte"":100}}",female,"sc,st,obc,general,ews,pvtg",false,false,false,false,false,false,
34,34,pmegp,https://www.myscheme.gov.in/schemes/pmegp,Prime Minister's Employment Generation Programme,"Financial Assistance,Loan,Entrepreneur,Projects,Micro Enterprises",All,"Business & Entrepreneurship,Banking,Financial Services and Insurance,Social welfare & Empowerment,Skills & Employment","Launched in August 2008, Prime Minister's Employment Generation Programme (PMEGP) is a credit-linked subsidy scheme, administered by the Ministry of Micro, Small and Medium Enterprises (MSME). PMEGP aims to generate employment opportunities through the establishment of micro-enterprises in ","{""ews"":{""gte"":18,""lte"":100},""female"":{""gte"":18,""lte"":100},""general"":{""gte"":18,""lte"":100},""obc"":{""gte"":18,""lte"":100},""sc"":{""gte"":18,""lte"":100},""st"":{""gte"":18,""lte"":100},""widowed"":{""gte"":18,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,Entrepreneur
35,35,inspire-f,https://www.myscheme.gov.in/schemes/inspire-f,Innovation In Science Pursuit For Inspired Research (INSPIRE) - Fellowship,"Fellowship,Science,University,Doctoral",All,Education & Learning,"INSPIRE Fellowship is one of the components of INSPIRE scheme implemented by the Department of Science and Technology (DST), Government of India to strengthen the Science and Technology base of the country. This Component focuses on attracting students to pursue doctoral degree.","{""ews"":{""gte"":14,""lte"":100},""female"":{""gte"":14,""lte"":100},""general"":{""gte"":14,""lte"":100},""obc"":{""gte"":14,""lte"":100},""sc"":{""gte"":14,""lte"":100},""st"":{""gte"":14,""lte"":100},""widowed"":{""gte"":14,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,
36,417,bbsii,https://www.myscheme.gov.in/schemes/bbsii,Book Bank Scheme: II ,"Tribal Welfare,Students,Books,Education",Tamil Nadu,Education & Learning,"The scheme provides free textbooks to Adi Dravidar/Tribal students pursuing professional courses like Medical, Engineering, Law, MBA, and others, which must be returned to the library after course completion. 
","{""sc"":{""gte"":18,""lte"":45},""st"":{""gte"":18,""lte"":45}}","male,female,transgender","st,sc",false,false,false,false,false,true,
37,36,sasjfopfc,https://www.myscheme.gov.in/schemes/sasjfopfc,Scheme For Award Of Senior/Junior Fellowships To Outstanding Persons In The Fields Of Culture,"Fellowship,Culture,Arts,Junior Fellows,Senior Fellows",All,Sports & Culture,"The scheme “Scheme for Award of Senior/Junior Fellowships to Outstanding Persons in the Fields of Culture” was launched by the Ministry of Culture, Government of India.","{""ews"":{""gte"":25,""lte"":100},""female"":{""gte"":25,""lte"":100},""general"":{""gte"":25,""lte"":100},""obc"":{""gte"":25,""lte"":100},""sc"":{""gte"":25,""lte"":100},""st"":{""gte"":25,""lte"":100},""widowed"":{""gte"":25,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,Artists
38,37,modrob,https://www.myscheme.gov.in/schemes/modrob,Modernisation And Removal Of Obsolescence,"Grant,Institution",All,Education & Learning,"MODROB scheme, one of the AICTE Quality Improvement Scheme (AQIS), intends to support the development of laboratories with appropriate equipment/ technology/ tools/ software and encourages financial contribution from the industry.","{""ews"":{""gte"":0,""lte"":100},""female"":{""gte"":0,""lte"":100},""general"":{""gte"":0,""lte"":100},""obc"":{""gte"":0,""lte"":100},""sc"":{""gte"":0,""lte"":100},""st"":{""gte"":0,""lte"":100},""widowed"":{""gte"":0,""lte"":100}}",female,"ews,st,general,obc,sc",false,false,false,true,false,false,
